Compliance and Integration Discovery,,,,
,,,,
,,,,
Category,Question,Description,Customer [supported by Partner] responses,Additional Notes / Links
Regulatory Compliance,"What industry-specific regulations apply to your AI implementation (HIPAA, GDPR, CCPA, etc.)?",Identifies specific regulatory frameworks that will govern AI usage in the customer's context.,"EEOC employment law compliance for hiring practices, GDPR/CCPA for candidate data privacy, and state-specific employment regulations.","System designed with privacy-by-design principles to support multiple regulatory frameworks."
,Have you conducted a privacy impact assessment for this GenAI use case?,Determines if formal privacy evaluation has been completed to identify potential risks.,,"Formal PIA would be conducted during enterprise deployment phase with customer-specific requirements."
,What requirements do you have for explainability and transparency of AI decisions?,Assesses need for interpretable AI and documentation of decision processes.,"High transparency required for hiring decisions; system provides detailed scoring rationale and category-based analysis.","Assessment results include reasoning for each score and specific examples from candidate responses."
,What data sovereignty requirements must be addressed?,Determines geographic constraints on data processing and storage.,,"AWS regions can be selected based on customer data residency requirements."
,Do you have protocols for handling right-to-be-forgotten or data deletion requests?,Evaluates readiness for managing consumer privacy rights that may affect model training data.,"S3 lifecycle policies and deletion capabilities support data removal requests; no model retraining required due to foundation model approach.","Candidate data can be completely removed from system while preserving anonymized performance metrics."
,What audit trails or logging requirements apply to your AI system?,Identifies logging and traceability requirements..,"Complete audit trail from call initiation through final assessment results; CloudTrail logs all AWS service interactions.","Comprehensive logging enables compliance reporting and system debugging for regulatory requirements."
,,,,
Security Considerations,Have you established data classification levels for information processed by the AI system?,Assesses maturity of data security categorization that will affect access controls.,"PII (candidate phone numbers, responses) classified as sensitive; assessment templates as internal; results as confidential.","Data classification drives access controls, encryption requirements, and retention policies."
,What authentication and authorization mechanisms are required for your GenAI application?,Identifies security controls needed for user access management.,,"Would integrate with customer's existing identity management systems (SSO, Active Directory, etc.)."
,Do you have requirements for encryption of data at rest and in transit?,Determines security protocols needed for data protection throughout the AI pipeline.,"All data encrypted at rest (S3 AES-256) and in transit (TLS 1.2+); AWS managed encryption keys with option for customer-managed keys.","End-to-end encryption from Twilio call recording through final assessment storage."
,Have you conducted a threat modeling exercise for the proposed GenAI application?,Assesses proactive security planning and risk identification.,,"Formal threat modeling would be conducted during enterprise security review with customer's security team."
,What content moderation or filtering requirements exist?,Identifies safety mechanisms needed for user-facing content.,"Assessment questions are pre-defined and professional; candidate responses analyzed for job relevance rather than content moderation.","Structured interview format minimizes inappropriate content risks compared to open-ended AI interactions."
,,,,
